id;empresa;grupo;operacao;nivel;municipios;uf;mineral;produto;valor;valor_max;unidade;medida;periodo_tipo;periodo;escopo;tipo_valor;confianca;fonte_nome;fonte_url;fonte_tipo;coleta_metodo;coleta_data;status_validacao;observacao
PRD_0011;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;68000;;oz;metal_em_concentrado;ano;2022;operacao_goias;realizado;media;Lundin Mining — 2022 Production Results and 2023 Guidance;https://www.lundinmining.com/news/lundin-mining-announces-2022-production-results--provides-2023-guidance;ri_empresa;busca_web;2026-09-18;nao_validado;"Publicado arredondado; superou o topo da faixa de guidance de 2022."
PRD_0012;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;8909;;t;metal_em_concentrado;trimestre;2025-Q1;operacao_goias;realizado;media;Lundin Mining — First Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-first-quarter-2025-results-123199/;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0013;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;11000;;oz;metal_em_concentrado;trimestre;2025-Q1;operacao_goias;realizado;baixa;Lundin Mining — First Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-first-quarter-2025-results-123199/;ri_empresa;busca_web;2026-09-18;nao_validado;"Publicado como ""aproximadamente 11.000 onças"" na fonte consultada: número arredondado, confira no release."
PRD_0014;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;11274;;t;metal_em_concentrado;trimestre;2025-Q2;operacao_goias;realizado;media;Lundin Mining — Second Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-reports-second-quarter-2025-results-123210/;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0015;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;322326;;t;metal_em_concentrado;ano;2025;consolidado_global;realizado;media;Lundin Mining — produção consolidada de 2025 (operações continuadas);https://brasilmineral.com.br/maiores/mineracaomaracalundinmining;imprensa_setorial;busca_web;2026-09-18;nao_validado;"CONSOLIDADO MUNDIAL da Lundin, não de Goiás: Chapada é uma das operações. ""Operações continuadas"" exclui os ativos europeus vendidos, e por isso difere do total de ~331 mil t citado em outras fontes para o mesmo ano."
PRD_0016;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;141859;;oz;metal_em_concentrado;ano;2025;consolidado_global;realizado;media;Lundin Mining — produção consolidada de 2025 (operações continuadas);https://brasilmineral.com.br/maiores/mineracaomaracalundinmining;imprensa_setorial;busca_web;2026-09-18;nao_validado;CONSOLIDADO MUNDIAL, não de Goiás.
PRD_0017;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;310000;335000;t;metal_em_concentrado;ano;2026;consolidado_global;guidance;alta;Lundin Mining — 2025 Production Results and 2026 Guidance;https://lundinmining.com/news/lundin-mining-announces-2025-production-results-and-2026-guidance/;ri_empresa;busca_web;2026-09-18;nao_validado;CONSOLIDADO MUNDIAL, não de Goiás.
PRD_0018;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;134000;149000;oz;metal_em_concentrado;ano;2026;consolidado_global;guidance;alta;Lundin Mining — 2025 Production Results and 2026 Guidance;https://lundinmining.com/news/lundin-mining-announces-2025-production-results-and-2026-guidance/;ri_empresa;busca_web;2026-09-18;nao_validado;CONSOLIDADO MUNDIAL, não de Goiás.
PRD_0019;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;minério alimentado na usina;24000000;;t;capacidade;ano;2025;operacao_goias;capacidade;media;Perfil da Mineração Maracá / Lundin Mining (Brasil Mineral);https://brasilmineral.com.br/maiores/mineracaomaracalundinmining;imprensa_setorial;busca_web;2026-09-18;nao_validado;Capacidade de processamento da usina de Chapada, cerca de 24 milhões de t de minério por ano. A companhia projeta elevar a moagem a 34–36 Mt/ano ao longo do período de guidance.
PRD_0020;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio (liga de ferronióbio e óxido);10348;;t;produto_acabado;ano;2025;operacao_goias;realizado;alta;CMOC — resultados anuais de 2025 (produção de nióbio, 103% da meta, recorde histórico);https://news.metal.com/newscontent/103830601-CMOC-2025-Net-Profit-up-503-YoY-Copper-Production-at-741100-mt-Niobium-Cobalt-Molybdenum-and-Tungsten-Output-Exceeded-Ex;agregador_mercado;busca_web;2026-09-18;nao_validado;Toda a produção de nióbio da CMOC está em Catalão/Ouvidor (GO). NÃO confundir com o Nb2O5 contido do Anuário Mineral: são medidas diferentes do mesmo negócio.
PRD_0021;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;5231;;t;produto_acabado;semestre;2025-S1;operacao_goias;realizado;alta;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre;https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;Maior marca da companhia para um primeiro semestre.
PRD_0022;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;5082;;t;produto_acabado;semestre;2024-S1;operacao_goias;realizado;media;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre (base de comparação);https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;Publicado como base de comparação do 1S25.
PRD_0023;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;1210000;;t;produto_acabado;ano;2025;consolidado_brasil;realizado;alta;CMOC — resultados anuais de 2025 (fertilizantes fosfatados, 105% da meta);https://news.metal.com/newscontent/103830601-CMOC-2025-Net-Profit-up-503-YoY-Copper-Production-at-741100-mt-Niobium-Cobalt-Molybdenum-and-Tungsten-Output-Exceeded-Ex;agregador_mercado;busca_web;2026-09-18;nao_validado;Publicado como 1,21 milhão de t. Agrega Catalão (GO) e Cubatão (SP): NÃO é número de Goiás.
PRD_0024;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;ácido fosfórico;136975;;t;produto_acabado;semestre;2025-S1;consolidado_brasil;realizado;alta;CMOC registra volume recorde de produção de nióbio no 1S25;https://revistamineracao.com.br/2025/09/01/cmoc-registra-volume-recorde-de-producao-de-niobio-no-1s25/;imprensa_setorial;busca_web;2026-09-18;nao_validado;"Soma das unidades de Cubatão (SP) e Catalão (GO); 1S24 foi 119.758 t."
PRD_0025;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;10024;;t;produto_acabado;ano;2024;operacao_goias;realizado;alta;CMOC — 2024 Annual Results;https://en.cmoc.com/html/2025/News_0324/73.html;ri_empresa;busca_web;2026-09-18;nao_validado;"Alta de 5% sobre 2023; recorde à época."
PRD_0026;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;9515;;t;produto_acabado;ano;2023;operacao_goias;realizado;alta;CMOC — 2023 Annual Results;https://en.cmoc.com/html/2024/News_0407/65.html;ri_empresa;busca_web;2026-09-18;nao_validado;Alta de 3,29% sobre 2022.
PRD_0027;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;1180000;;t;produto_acabado;ano;2024;consolidado_brasil;realizado;alta;CMOC — 2024 Annual Results;https://en.cmoc.com/html/2025/News_0324/73.html;ri_empresa;busca_web;2026-09-18;nao_validado;Publicado como 1,18 milhão de t. Agrega Catalão (GO) e Cubatão (SP).
PRD_0028;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;1168222;;t;produto_acabado;ano;2023;consolidado_brasil;realizado;alta;CMOC — 2023 Annual Results;https://en.cmoc.com/html/2024/News_0407/65.html;ri_empresa;busca_web;2026-09-18;nao_validado;Alta de 2,28% sobre 2022. Agrega Catalão (GO) e Cubatão (SP).
PRD_0029;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;582621;;t;produto_acabado;semestre;2025-S1;consolidado_brasil;realizado;alta;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre;https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;Avanço de 4% sobre o 1S24. Agrega Catalão (GO) e Cubatão (SP).
PRD_0030;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;561543;;t;produto_acabado;semestre;2024-S1;consolidado_brasil;realizado;media;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre (base de comparação);https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;Publicado como base de comparação do 1S25.
PRD_0031;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;5462;;t;venda;semestre;2025-S1;operacao_goias;realizado;alta;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre;https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;VENDA, não produção: 5% acima do 1S24 e maior que as 5.231 t produzidas no mesmo semestre — a diferença saiu de estoque.
PRD_0032;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Nióbio;nióbio;5178;;t;venda;semestre;2024-S1;operacao_goias;realizado;media;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre (base de comparação);https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;VENDA, não produção. Publicado como base de comparação do 1S25.
PRD_0033;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;588775;;t;venda;semestre;2025-S1;consolidado_brasil;realizado;alta;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre;https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;VENDA, não produção: alta de 9% sobre o 1S24.
PRD_0034;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;CMOC Group Limited;Complexo de Catalão/Ouvidor (nióbio e fosfato) e Cubatão/SP (fosfatados);empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados;538932;;t;venda;semestre;2024-S1;consolidado_brasil;realizado;media;CMOC Brasil produz 3% a mais de nióbio no primeiro semestre (base de comparação);https://www.brasilmineral.com.br/noticias/cmoc-brasil-produz-3-a-mais-de-niobio-no-primeiro-semestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;VENDA, não produção. Publicado como base de comparação do 1S25.
PRD_0035;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;39700;;t;produto_acabado;ano;2025;operacao_goias;realizado;alta;Anglo American — Q4 2025 Production Report;https://www.angloamerican.com/media/press-releases/2026/05-02-2026;ri_empresa;busca_web;2026-09-18;nao_validado;Publicado como 39,7 kt. Todo o níquel da Anglo American está em Goiás (Barro Alto e Codemin), então o consolidado do negócio é também o número do estado. Alta de 1% sobre 2024.
PRD_0036;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;39400;;t;produto_acabado;ano;2024;operacao_goias;realizado;alta;Anglo American — Q4 2024 Production Report / comunicado de venda do negócio de níquel;https://www.angloamerican.com/media/press-releases/2025/18-02-2025a;ri_empresa;busca_web;2026-09-18;nao_validado;Mina de Barro Alto, mina de Niquelândia e as plantas de ferroníquel de Barro Alto e Codemin somadas.
PRD_0037;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto;operacao;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;8400;;t;produto_acabado;trimestre;2025-Q4;operacao_goias;realizado;media;Anglo American — Q4 2025 Production Report;https://www.angloamerican.com/media/press-releases/2026/05-02-2026;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0038;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Codemin;operacao;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;1900;;t;produto_acabado;trimestre;2025-Q4;operacao_goias;realizado;media;Anglo American — Q4 2025 Production Report;https://www.angloamerican.com/media/press-releases/2026/05-02-2026;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0039;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;40000;;t;produto_acabado;ano;2023;operacao_goias;realizado;media;Anglo American — Q4 2023 Production Report;https://www.angloamerican.com/media/press-releases/2024/08-02-2024;ri_empresa;busca_web;2026-09-18;nao_validado;"Publicado arredondado em 40 kt; 2024 caiu 2% ante este número."
PRD_0040;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;9100;;t;produto_acabado;trimestre;2026-Q1;operacao_goias;realizado;media;Anglo American — Q1 2026 Production Report;https://www.angloamerican.com/media/press-releases/2026/28-04-2026;ri_empresa;busca_web;2026-09-18;nao_validado;Queda de 7%, atribuída a manutenção em Barro Alto e Codemin.
PRD_0041;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;9100;;t;produto_acabado;trimestre;2026-Q2;operacao_goias;realizado;media;Anglo American — Q2 2026 Production Report;https://www.angloamerican.com/media/press-releases/2026/23-07-2026;ri_empresa;busca_web;2026-09-18;nao_validado;Queda de 4%, ainda sob manutenção nas duas plantas.
PRD_0042;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;18200;;t;produto_acabado;semestre;2026-S1;operacao_goias;realizado;alta;Anglo American Brasil — resultados do 1S26 (Revista Mineração);https://revistamineracao.com.br/2026/07/30/anglo-american-brasil-divulga-resultados-do-1s26-com-recorde-no-embarque-de-minerio/;imprensa_setorial;busca_web;2026-09-18;nao_validado;Publicado como 18,2 mil t, queda de 6% sobre o 1S25, atribuída a manutenção corretiva e antecipação de paradas programadas em Barro Alto e Codemin. Bate com os dois trimestres de 9.100 t publicados no relatório do grupo.
PRD_0043;ANGLO AMERICAN NIQUEL BRASIL LTDA;Anglo American plc;Barro Alto e Codemin (Niquelândia);empresa;"Barro Alto; Niquelândia";GO;Níquel;níquel contido em ferroníquel;19300;;t;produto_acabado;semestre;2025-S1;operacao_goias;realizado;media;Anglo American Brasil — resultados do 1S26, base de comparação;https://brasil.angloamerican.com/pt-pt/imprensa/noticias/2026/30-07-2026;ri_empresa;busca_web;2026-09-18;nao_validado;Publicado como 19,3 mil t, na comparação do 1S26.
PRD_0044;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;Eternit S.A.;Mina de Cana Brava;empresa;Minaçu;GO;Amianto;fibra de crisotila;169000;;t;embarque;ano;2025;operacao_goias;realizado;alta;Eternit — resultados de 2025 (exportação de crisotila +1,2%);https://ri.eternit.com.br/;ri_empresa;busca_web;2026-09-18;nao_validado;"É EXPORTAÇÃO EMBARCADA, não produção de mina. A companhia informa que toda a fibra vai para o mercado externo, amparada na Lei estadual 20.514; a Lei estadual 22.932/2024 fixou prazo de cinco anos para o encerramento da extração e do beneficiamento."
PRD_0045;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;Eternit S.A.;Mina de Cana Brava;empresa;Minaçu;GO;Amianto;fibra de crisotila;166800;;t;venda;ano;2024;operacao_goias;realizado;alta;Eternit — resultados de 2024 (segmento mineral crisotila);https://ri.eternit.com.br/;ri_empresa;busca_web;2026-09-18;nao_validado;VENDA, não produção de mina. Gerou R$ 384,8 milhões de receita líquida, 33% da receita consolidada do grupo.
PRD_0046;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;Eternit S.A.;Mina de Cana Brava;empresa;Minaçu;GO;Amianto;fibra de crisotila;190000;;t;embarque;ano;2023;operacao_goias;realizado;baixa;Eternit — resultados de 2023 (exportação de crisotila);https://ri.eternit.com.br/;ri_empresa;busca_web;2026-09-18;nao_validado;"EXPORTAÇÃO EMBARCADA, não produção. Publicado como ""aproximadamente 190 mil t, queda de 3%"": número arredondado na origem."
PRD_0047;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;Eternit S.A.;Mina de Cana Brava;empresa;Minaçu;GO;Amianto;fibra de crisotila;22000;;t;embarque;trimestre;2026-Q1;operacao_goias;realizado;media;Eternit — resultados do 1T26;https://www.revistaanamaco.com.br/construcao-industrializada-avanca-no-portfolio-da-eternit-no-1-trimestre;imprensa_setorial;busca_web;2026-09-18;nao_validado;EXPORTAÇÃO EMBARCADA, não produção. Retração de 26,9%, atribuída a parada programada de manutenção do primeiro trimestre e à redistribuição dos embarques ao longo do ano.
PRD_0048;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;Eternit S.A.;Mina de Cana Brava;empresa;Minaçu;GO;Amianto;fibra de crisotila;167000;;t;produto_acabado;ano;2024;operacao_goias;realizado;baixa;SAMA — perfil em As Maiores Empresas do Setor Mineral (Brasil Mineral);https://www.brasilmineral.com.br/maiores/sama;imprensa_setorial;busca_web;2026-09-18;nao_validado;Publicado como 167 mil t produzidas, queda de 11,6% sobre 2023. ATENÇÃO: fica dentro do arredondamento das 166,8 mil t de VENDA do mesmo ano, e pode ser o mesmo número redescrito pela fonte. Confirmar no release da Eternit antes de usar como produção.
PRD_0049;MOSAIC FERTILIZANTES P&K LTDA.;The Mosaic Company;Complexo de Catalão/Ouvidor, entre outras unidades no Brasil;empresa;"Catalão; Ouvidor";GO;Fosfato;rocha fosfática;4200000;;t;produto_acabado;ano;2025;consolidado_brasil;realizado;media;Mosaic — Form 10-K FY2025;https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/mos-20251231.htm;ri_empresa;busca_web;2026-09-18;nao_validado;Publicado como ~4,2 milhões de t, cerca de 71% da produção brasileira estimada. Agrega todas as minas da Mosaic no Brasil: NÃO é o número de Catalão/Ouvidor.
PRD_0050;MOSAIC FERTILIZANTES P&K LTDA.;The Mosaic Company;Complexo de Catalão/Ouvidor, entre outras unidades no Brasil;empresa;"Catalão; Ouvidor";GO;Fosfato;fertilizantes fosfatados concentrados;2600000;;t;produto_acabado;ano;2025;consolidado_brasil;realizado;media;Mosaic — Form 10-K FY2025;https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/mos-20251231.htm;ri_empresa;busca_web;2026-09-18;nao_validado;Cerca de 46% da produção brasileira estimada. Escopo Brasil.
