Rodada;NumeroArea;ProcessoMinerario;Situacao;Modalidade;RegimeDisponibilidade;Municipio;UnidadeFederacao;AreaPoligonal;ValorLanceVencedorReais;NomeVencedor;CpfCnpjVencedor
1;44;300034/2016;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;14,57;0,00;;
1;45;300169/2017;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;17,67;0,00;;
1;46;302644/2015;Conquistada;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;34,19;0,00;CRISTIANA GUIMARAES CAMPOS;832.***.***72
1;47;303074/2015;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;11,00;0,00;;
1;48;303077/2015;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;5,01;0,00;;
1;49;303081/2015;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Distrito Federal;10,52;0,00;;
1;50;300009/2016;Livre;Oferta Pública;Pesquisa;CARIACICA;Espírito Santo;36,40;0,00;;
1;51;300204/2017;Livre;Oferta Pública;Pesquisa;SÃO ROQUE DE CANAÃ;Espírito Santo;30,48;0,00;;
1;52;300249/2016;Livre;Oferta Pública;Pesquisa;NOVA VENÉCIA;Espírito Santo;29,48;0,00;;
1;53;300469/2018;Livre;Oferta Pública;Pesquisa;DOMINGOS MARTINS;Espírito Santo;43,18;0,00;;
1;54;300533/2019;Livre;Oferta Pública;Pesquisa;ALFREDO CHAVES;Espírito Santo;24,92;0,00;;
1;55;300665/2017;Livre;Oferta Pública;Pesquisa;LINHARES;Espírito Santo;34,57;0,00;;
1;56;300684/2018;Livre;Oferta Pública;Pesquisa;SOORETAMA;Espírito Santo;25,31;0,00;;
1;57;300799/2019;Livre;Oferta Pública;Pesquisa;SÃO MATEUS;Espírito Santo;24,12;0,00;;
1;58;301142/2016;Livre;Oferta Pública;Pesquisa;AFONSO CLÁUDIO;Espírito Santo;44,36;0,00;;
1;59;302370/2015;Livre;Oferta Pública;Pesquisa;SÃO MATEUS;Espírito Santo;34,12;0,00;;
1;60;302753/2015;Livre;Oferta Pública;Pesquisa;COLATINA;Espírito Santo;27,83;0,00;;
1;61;302783/2015;Arrematada;Proposta Fechada;Pesquisa;CACHOEIRO DE ITAPEMIRIM;Espírito Santo;34,49;980,21;EMPRESA BRASILEIRA DE AGREGADOS MINERAIS S/A;104.**.***/****94
1;61;302783/2015;Aguardando Leilão;Oferta Pública;Pesquisa;CACHOEIRO DE ITAPEMIRIM;Espírito Santo;34,49;0,00;;
1;62;896038/2011;Livre;Oferta Pública;Pesquisa;BARRA DE SÃO FRANCISCO;Espírito Santo;45,80;0,00;;
1;63;896043/2014;Livre;Oferta Pública;Pesquisa;PEDRO CANÁRIO;Espírito Santo;49,14;0,00;;
1;64;896077/2015;Arrematada;Proposta Fechada;Pesquisa;PRESIDENTE KENNEDY;Espírito Santo;49,76;101000,00;UNIAO BRASILEIRA DE MINERACAO LTDA.;079.**.***/****52
1;64;896077/2015;Aguardando Leilão;Oferta Pública;Pesquisa;PRESIDENTE KENNEDY;Espírito Santo;49,76;0,00;;
1;65;896090/2018;Livre;Oferta Pública;Pesquisa;COLATINA;Espírito Santo;48,94;0,00;;
1;66;896117/2014;Conquistada;Oferta Pública;Pesquisa;ARACRUZ;Espírito Santo;31,76;0,00;NEXA RECURSOS MINERAIS S.A.;424.**.***/****07
1;67;896126/2015;Livre;Oferta Pública;Pesquisa;CONCEIÇÃO DA BARRA;Espírito Santo;48,40;0,00;;
1;68;896127/2015;Livre;Oferta Pública;Pesquisa;CONCEIÇÃO DA BARRA;Espírito Santo;48,25;0,00;;
1;69;896128/2015;Livre;Oferta Pública;Pesquisa;CONCEIÇÃO DA BARRA;Espírito Santo;49,06;0,00;;
1;70;896129/2015;Livre;Oferta Pública;Pesquisa;CONCEIÇÃO DA BARRA;Espírito Santo;48,92;0,00;;
1;71;896130/2015;Livre;Oferta Pública;Pesquisa;CONCEIÇÃO DA BARRA;Espírito Santo;48,52;0,00;;
1;72;896193/2014;Livre;Oferta Pública;Pesquisa;LINHARES;Espírito Santo;24,85;0,00;;
1;73;896251/2014;Livre;Oferta Pública;Pesquisa;FUNDÃO;Espírito Santo;25,31;0,00;;
1;74;896261/2014;Livre;Oferta Pública;Pesquisa;LINHARES;Espírito Santo;48,41;0,00;;
1;75;896309/2014;Livre;Oferta Pública;Pesquisa;LINHARES;Espírito Santo;40,26;0,00;;
1;76;896333/2014;Livre;Oferta Pública;Pesquisa;VILA VELHA;Espírito Santo;12,35;0,00;;
1;77;896364/2015;Livre;Oferta Pública;Pesquisa;MUNIZ FREIRE;Espírito Santo;33,61;0,00;;
1;78;896370/2014;Livre;Oferta Pública;Pesquisa;VILA VELHA;Espírito Santo;49,94;0,00;;
1;79;896427/2012;Livre;Oferta Pública;Pesquisa;SERRA;Espírito Santo;48,91;0,00;;
1;80;896494/2014;Livre;Oferta Pública;Pesquisa;ÁGUA DOCE DO NORTE;Espírito Santo;38,86;0,00;;
1;81;300023/2018;Conquistada;Oferta Pública;Pesquisa;PLANALTINA;Goiás;41,62;0,00;MORRO BRANCO MINERACAO LTDA;354.**.***/****54
1;82;300026/2018;Conquistada;Oferta Pública;Pesquisa;PLANALTINA;Goiás;27,22;0,00;MORRO BRANCO MINERACAO LTDA;354.**.***/****54
1;83;300036/2017;Livre;Oferta Pública;Pesquisa;VILA PROPÍCIO;Goiás;37,00;0,00;;
1;84;300097/2017;Conquistada;Oferta Pública;Pesquisa;SÃO LUÍS DE MONTES BELOS;Goiás;49,40;0,00;DEMETRIUS ANDRE TOMKIW;023.***.***93
1;85;300126/2017;Livre;Oferta Pública;Pesquisa;CAIAPÔNIA;Goiás;20,48;0,00;;
1;86;300230/2017;Livre;Oferta Pública;Pesquisa;PADRE BERNARDO;Goiás;22,26;0,00;;
1;87;300260/2017;Livre;Oferta Pública;Pesquisa;JARAGUÁ;Goiás;36,95;0,00;;
1;88;300263/2017;Livre;Oferta Pública;Pesquisa;RIALMA;Goiás;42,78;0,00;;
1;89;300336/2017;Livre;Oferta Pública;Pesquisa;JATAÍ;Goiás;19,27;0,00;;
1;90;300387/2016;Livre;Oferta Pública;Pesquisa;RIO VERDE;Goiás;44,43;0,00;;
1;91;300456/2017;Livre;Oferta Pública;Pesquisa;CRISTALINA;Goiás;27,47;0,00;;
1;92;300491/2017;Livre;Oferta Pública;Pesquisa;AURILÂNDIA;Goiás;18,57;0,00;;
1;93;300555/2016;Conquistada;Oferta Pública;Pesquisa;COCALZINHO DE GOIÁS;Goiás;20,22;0,00;MORRO BRANCO MINERACAO LTDA;354.**.***/****54
1;94;300583/2016;Livre;Oferta Pública;Pesquisa;MONTE ALEGRE DE GOIÁS;Goiás;19,29;0,00;;
1;95;300605/2018;Conquistada;Oferta Pública;Pesquisa;RIO VERDE;Goiás;18,09;0,00;MORRO BRANCO MINERACAO LTDA;354.**.***/****54
1;96;300663/2016;Livre;Oferta Pública;Pesquisa;VILA PROPÍCIO;Goiás;27,87;0,00;;
1;97;300679/2016;Livre;Oferta Pública;Pesquisa;PADRE BERNARDO;Goiás;29,80;0,00;;
1;98;300681/2016;Livre;Oferta Pública;Pesquisa;SANTA TEREZA DE GOIÁS;Goiás;48,30;0,00;;
1;99;300727/2018;Livre;Oferta Pública;Pesquisa;GUARANI DE GOIÁS;Goiás;17,67;0,00;;
1;100;300876/2016;Livre;Oferta Pública;Pesquisa;GUAPÓ;Goiás;15,69;0,00;;
1;101;300944/2017;Livre;Oferta Pública;Pesquisa;JARAGUÁ;Goiás;33,81;0,00;;
1;102;301024/2016;Livre;Oferta Pública;Pesquisa;PIRACANJUBA;Goiás;27,46;0,00;;
1;103;301025/2016;Livre;Oferta Pública;Pesquisa;PIRACANJUBA;Goiás;31,86;0,00;;
1;104;301046/2016;Conquistada;Oferta Pública;Pesquisa;PADRE BERNARDO;Goiás;16,57;0,00;EMPRESA BRASILEIRA DE AGREGADOS MINERAIS S/A;104.**.***/****94
1;105;301048/2016;Livre;Oferta Pública;Pesquisa;PADRE BERNARDO;Goiás;45,80;0,00;;
1;106;860020/2016;Conquistada;Oferta Pública;Pesquisa;GOIANÁPOLIS;Goiás;49,95;0,00;NEXA RECURSOS MINERAIS S.A.;424.**.***/****07
1;107;860109/2017;Livre;Oferta Pública;Pesquisa;ACREÚNA;Goiás;49,83;0,00;;
1;108;860110/2017;Conquistada;Oferta Pública;Pesquisa;ACREÚNA;Goiás;36,17;0,00;DEMETRIUS ANDRE TOMKIW;023.***.***93
1;109;860126/2016;Livre;Oferta Pública;Pesquisa;CRISTALINA;Goiás;36,42;0,00;;
1;110;860127/2016;Livre;Oferta Pública;Pesquisa;CRISTALINA;Goiás;49,05;0,00;;
1;111;860166/2014;Livre;Oferta Pública;Pesquisa;VILA BOA;Goiás;49,95;0,00;;
1;112;860486/2016;Livre;Oferta Pública;Pesquisa;BRASÍLIA;Goiás;42,68;0,00;;
1;113;860838/2018;Livre;Oferta Pública;Pesquisa;SANTA TEREZA DE GOIÁS;Goiás;45,55;0,00;;
1;114;861099/2015;Livre;Oferta Pública;Pesquisa;CASTELÂNDIA;Goiás;49,96;0,00;;
1;115;861257/2015;Livre;Oferta Pública;Pesquisa;BOM JESUS DE GOIÁS;Goiás;48,84;0,00;;
1;116;861544/2014;Conquistada;Oferta Pública;Pesquisa;BONFINÓPOLIS;Goiás;23,52;0,00;NEXA RECURSOS MINERAIS S.A.;424.**.***/****07
1;117;806066/2016;Aguardando Leilão;Oferta Pública;Pesquisa;BACABEIRA;Maranhão;42,28;0,00;;
1;117;806066/2016;Livre;Proposta Fechada;Pesquisa;BACABEIRA;Maranhão;42,28;0,00;;
1;118;806099/2015;Livre;Oferta Pública;Pesquisa;CAXIAS;Maranhão;28,39;0,00;;
1;119;806113/2010;Conquistada;Oferta Pública;Pesquisa;ROSÁRIO;Maranhão;31,70;0,00;FERNANDO ANTONIO LEITAO CAVALCANTE;080.***.***91
1;120;300034/2018;Livre;Proposta Fechada;Pesquisa;TAQUARAÇU DE MINAS;Minas Gerais;48,52;0,00;;
1;120;300034/2018;Aguardando Leilão;Oferta Pública;Pesquisa;TAQUARAÇU DE MINAS;Minas Gerais;48,52;0,00;;
1;121;300337/2016;Aguardando Leilão;Oferta Pública;Pesquisa;ARAQUARI;Minas Gerais;48,38;0,00;;
1;121;300337/2016;Livre;Proposta Fechada;Pesquisa;ARAQUARI;Minas Gerais;48,38;0,00;;
1;122;300645/2016;Retirada;Proposta Fechada;Pesquisa;PORTO FIRME;Minas Gerais;46,76;0,00;;
1;122;300645/2016;Aguardando Leilão;Oferta Pública;Pesquisa;PORTO FIRME;Minas Gerais;46,76;0,00;;
1;123;300737/2016;Livre;Oferta Pública;Pesquisa;ITAJUBÁ;Minas Gerais;48,11;0,00;;
1;124;300895/2017;Conquistada;Oferta Pública;Pesquisa;POUSO ALEGRE;Minas Gerais;47,21;0,00;Sul Mineira Comercio e Extração Mineral Ltda;143.**.***/****73
1;125;301044/2016;Conquistada;Oferta Pública;Pesquisa;TAQUARAÇU DE MINAS;Minas Gerais;47,77;0,00;GMCS CONSULTORIA E SONDAGEM EIRELI;380.**.***/****70
1;126;303120/2017;Livre;Proposta Fechada;Pesquisa;BARROSO;Minas Gerais;47,67;0,00;;
1;126;303120/2017;Aguardando Leilão;Oferta Pública;Pesquisa;BARROSO;Minas Gerais;47,67;0,00;;
1;127;303296/2018;Livre;Oferta Pública;Pesquisa;JANUÁRIA;Minas Gerais;48,08;0,00;;
1;128;830182/2015;Livre;Oferta Pública;Pesquisa;SACRAMENTO;Minas Gerais;47,81;0,00;;
1;129;830183/2015;Livre;Oferta Pública;Pesquisa;SACRAMENTO;Minas Gerais;48,97;0,00;;
1;130;830184/2015;Livre;Oferta Pública;Pesquisa;SACRAMENTO;Minas Gerais;48,98;0,00;;
1;131;830284/2016;Livre;Oferta Pública;Pesquisa;GOUVEIA;Minas Gerais;48,68;0,00;;
1;132;830535/2015;Livre;Oferta Pública;Pesquisa;TRÊS CORAÇÕES;Minas Gerais;49,86;0,00;;
1;133;830856/2013;Conquistada;Oferta Pública;Pesquisa;CURVELO;Minas Gerais;48,75;0,00;GMCS CONSULTORIA E SONDAGEM EIRELI;380.**.***/****70
1;134;831099/2016;Conquistada;Oferta Pública;Pesquisa;TIROS;Minas Gerais;48,03;0,00;LEONARDO SIQUEIRA HUDSON;768.***.***59
1;135;831149/2016;Conquistada;Oferta Pública;Pesquisa;CURRAL DE DENTRO;Minas Gerais;49,50;0,00;GMCS CONSULTORIA E SONDAGEM EIRELI;380.**.***/****70
1;136;831619/2014;Aguardando Leilão;Oferta Pública;Pesquisa;ESMERALDAS;Minas Gerais;46,44;0,00;;
1;136;831619/2014;Arrematada;Proposta Fechada;Pesquisa;ESMERALDAS;Minas Gerais;46,44;2001,00;LEONARDO SIQUEIRA HUDSON;768.***.***59
1;137;831923/2015;Conquistada;Oferta Pública;Pesquisa;SÃO FRANCISCO;Minas Gerais;5,15;0,00;ATLANTICA MINAS EMPREENDIMENTOS, PARTICIPACOES E MINERACAO LTDA;026.**.***/****44
1;138;831967/2015;Livre;Oferta Pública;Pesquisa;GRÃO MOGOL;Minas Gerais;48,23;0,00;;
1;139;832124/2013;Livre;Oferta Pública;Pesquisa;BURITIZEIRO;Minas Gerais;49,99;0,00;;
1;140;832203/2016;Livre;Oferta Pública;Pesquisa;GUIMARÂNIA;Minas Gerais;49,34;0,00;;
1;141;832219/2014;Livre;Oferta Pública;Pesquisa;CALDAS;Minas Gerais;49,92;0,00;;
1;142;832395/2014;Livre;Oferta Pública;Pesquisa;VARGINHA;Minas Gerais;49,31;0,00;;
1;143;832401/2014;Aguardando Leilão;Oferta Pública;Pesquisa;JUIZ DE FORA;Minas Gerais;49,95;0,00;;
1;143;832401/2014;Arrematada;Proposta Fechada;Pesquisa;JUIZ DE FORA;Minas Gerais;49,95;20100,00;MARCIO ALVES;820.***.***68
1;144;832500/2013;Livre;Oferta Pública;Pesquisa;FRUTAL;Minas Gerais;49,09;0,00;;
1;145;832560/2013;Arrematada;Proposta Fechada;Pesquisa;ITAÚNA;Minas Gerais;46,70;2900,00;DRAGAGEM CARVALHO LTDA;340.**.***/****20
1;145;832560/2013;Aguardando Leilão;Oferta Pública;Pesquisa;ITAÚNA;Minas Gerais;46,70;0,00;;
1;146;832769/2015;Livre;Oferta Pública;Pesquisa;MEDINA;Minas Gerais;49,69;0,00;;
1;147;832808/2014;Livre;Oferta Pública;Pesquisa;FRUTAL;Minas Gerais;50,00;0,00;;
1;148;832809/2014;Livre;Oferta Pública;Pesquisa;FRUTAL;Minas Gerais;50,00;0,00;;
1;149;832810/2014;Livre;Oferta Pública;Pesquisa;FRUTAL;Minas Gerais;50,00;0,00;;
1;150;833003/2014;Aguardando Leilão;Oferta Pública;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,61;0,00;;
1;150;833003/2014;Arrematada;Proposta Fechada;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,61;2002,00;LEONARDO SIQUEIRA HUDSON;768.***.***59
1;151;833006/2014;Arrematada;Proposta Fechada;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,64;66511,00;Marcelo Lacerda de Mesquita;107.***.***20
1;151;833006/2014;Aguardando Leilão;Oferta Pública;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,64;0,00;;
1;152;833012/2014;Aguardando Leilão;Oferta Pública;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,60;0,00;;
1;152;833012/2014;Arrematada;Proposta Fechada;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,60;2002,00;LEONARDO SIQUEIRA HUDSON;768.***.***59
1;153;833013/2014;Arrematada;Proposta Fechada;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,57;13000,00;RENZO FIUZA CHAVES JUNIOR;102.***.***60
1;153;833013/2014;Aguardando Leilão;Oferta Pública;Pesquisa;LAGOA DA PRATA;Minas Gerais;49,57;0,00;;
1;154;833014/2014;Aguardando Leilão;Oferta Pública;Pesquisa;LAGOA DA PRATA;Minas Gerais;48,82;0,00;;
1;154;833014/2014;Arrematada;Proposta Fechada;Pesquisa;LAGOA DA PRATA;Minas Gerais;48,82;2002,00;LEONARDO SIQUEIRA HUDSON;768.***.***59
1;155;833040/2015;Livre;Oferta Pública;Pesquisa;SOLEDADE DE MINAS;Minas Gerais;5,78;0,00;;
1;156;833527/2013;Livre;Oferta Pública;Pesquisa;SANTO HIPÓLITO;Minas Gerais;50,00;0,00;;
1;157;833692/2013;Livre;Oferta Pública;Pesquisa;CORAÇÃO DE JESUS;Minas Gerais;49,80;0,00;;
1;158;300131/2018;Livre;Oferta Pública;Pesquisa;MIRANDA;Mato Grosso do Sul;42,69;0,00;;
1;159;300619/2017;Livre;Oferta Pública;Pesquisa;GUIA LOPES DA LAGUNA;Mato Grosso do Sul;32,81;0,00;;
1;160;300675/2017;Livre;Oferta Pública;Pesquisa;ANASTACIO;Mato Grosso do Sul;1,99;0,00;;
1;161;300757/2014;Livre;Oferta Pública;Pesquisa;PARAÍSO DE ÁGUAS;Mato Grosso do Sul;27,32;0,00;;
1;162;300799/2016;Livre;Oferta Pública;Pesquisa;NOVO ALVORADA DO SUL;Mato Grosso do Sul;34,09;0,00;;
1;163;300805/2017;Livre;Oferta Pública;Pesquisa;CAMPO GRANDRE;Mato Grosso do Sul;21,84;0,00;;
1;164;303179/2018;Livre;Oferta Pública;Pesquisa;ITAPORÃ;Mato Grosso do Sul;24,43;0,00;;
1;165;868079/2014;Livre;Oferta Pública;Pesquisa;DOURADOS;Mato Grosso do Sul;48,95;0,00;;
1;166;868080/2014;Livre;Oferta Pública;Pesquisa;DOURADOS;Mato Grosso do Sul;49,36;0,00;;
1;167;868081/2014;Livre;Oferta Pública;Pesquisa;DOURADOS;Mato Grosso do Sul;48,95;0,00;;
1;168;300830/2016;Conquistada;Oferta Pública;Pesquisa;SANTO ANTÔNIO DO LEVERGER;Mato Grosso;24,09;0,00;ROSIVETE NASSARDEN METELO;937.***.***04
1;169;300831/2016;Conquistada;Oferta Pública;Pesquisa;SANTO ANTÔNIO DO LEVERGER;Mato Grosso;25,40;0,00;ROSIVETE NASSARDEN METELO;937.***.***04
1;170;301127/2012;Conquistada;Oferta Pública;Pesquisa;CÁCERES;Mato Grosso;37,46;0,00;ROSIVETE NASSARDEN METELO;937.***.***04
1;171;866046/2018;Livre;Oferta Pública;Pesquisa;TANGARÁ DA SERRA;Mato Grosso;50,00;0,00;;
1;172;866098/2008;Livre;Oferta Pública;Pesquisa;COMODORO;Mato Grosso;50,00;0,00;;
1;173;866099/2008;Livre;Oferta Pública;Pesquisa;COMODORO;Mato Grosso;50,00;0,00;;
1;174;866236/2018;Arrematada;Proposta Fechada;Pesquisa;ACORIZAL;Mato Grosso;47,83;1000,00;M M GEOLOGIA E MEIO AMBIENTE LTDA;191.**.***/****05
1;174;866236/2018;Aguardando Leilão;Oferta Pública;Pesquisa;ACORIZAL;Mato Grosso;47,83;0,00;;
1;175;866602/2016;Conquistada;Oferta Pública;Pesquisa;CUIABÁ;Mato Grosso;27,66;0,00;ROSIVETE NASSARDEN METELO;937.***.***04
1;176;866684/2015;Conquistada;Oferta Pública;Pesquisa;RONDONÓPOLIS;Mato Grosso;27,75;0,00;ROSIVETE NASSARDEN METELO;937.***.***04
1;177;866985/2013;Livre;Oferta Pública;Pesquisa;QUERÊNCIA;Mato Grosso;25,06;0,00;;
1;178;300529/2016;Arrematada;Proposta Fechada;Pesquisa;ITAITUBA;Pará;21,59;1000,00;MINERAX MINERACOES S.A.;041.**.***/****40
1;178;300529/2016;Aguardando Leilão;Oferta Pública;Pesquisa;ITAITUBA;Pará;21,59;0,00;;
1;179;850181/2015;Aguardando Leilão;Oferta Pública;Pesquisa;ITAITUBA;Pará;47,97;0,00;;
1;179;850181/2015;Arrematada;Proposta Fechada;Pesquisa;ITAITUBA;Pará;47,97;3201,99;GS EXTRACAO E COMERCIO DE AREIA LTDA;820.**.***/****02
1;180;850567/2011;Arrematada;Proposta Fechada;Pesquisa;CANAÃ DOS CARAJÁS;Pará;49,04;10000,00;GEOLOGIA CANAA EXTRATIVISMO MINERAL LTDA;209.**.***/****52
1;180;850567/2011;Aguardando Leilão;Oferta Pública;Pesquisa;CANAÃ DOS CARAJÁS;Pará;49,04;0,00;;
1;181;850643/2010;Aguardando Leilão;Oferta Pública;Pesquisa;CURIONÓPOLIS;Pará;17,04;0,00;;
1;181;850643/2010;Livre;Proposta Fechada;Pesquisa;CURIONÓPOLIS;Pará;17,04;0,00;;
1;182;300393/2009;Livre;Oferta Pública;Pesquisa;CAAPORÃ;Paraíba;41,00;0,00;;
1;183;300404/2016;Livre;Oferta Pública;Pesquisa;AREIA;Paraíba;5,04;0,00;;
1;184;300440/2018;Livre;Oferta Pública;Pesquisa;SÃO MIGUEL DE TAIPU;Paraíba;13,16;0,00;;
1;185;300483/2016;Livre;Oferta Pública;Pesquisa;CUITEGI;Paraíba;21,60;0,00;;
1;186;300668/2016;Livre;Oferta Pública;Pesquisa;PILAR;Paraíba;7,78;0,00;;
1;187;300702/2016;Livre;Oferta Pública;Pesquisa;PEDRAS DE FOGO;Paraíba;9,15;0,00;;
1;188;300867/2017;Conquistada;Oferta Pública;Pesquisa;JOÃO PESSOA;Paraíba;10,62;0,00;Lucio Ledio de Souza;984.***.***53
1;189;300975/2016;Livre;Oferta Pública;Pesquisa;PILAR;Paraíba;9,68;0,00;;
