IDSubstancia;NMSubstancia
101705;ITROFLUORITA
101800;MINÉRIO DE LÍTIO
101801;LÍTIO
101802;AMBLIGONITA
101803;ESPODUMÊNIO
101804;LEPIDOLITA
101805;PETALITA
101806;TRIFILITA
101807;PEGMATITO
101900;MINÉRIO DE MAGNÉSIO
101901;MAGNÉSIO
101902;SAIS DE MAGNÉSIO
101903;BRUCITA
102100;MINÉRIO DE MANGANÊS
102101;MANGANÊS
102102;ÓXIDOS DE MANGANÊS
102103;CARBONATOS DE MANGANÊS
102105;CRIPTOMELANO
102106;FERRO MANGANÊS
102107;MANGANITA
102108;PIROLUSITA
102109;POLIANITA
102110;PSILOMELANO
102111;RODOCROSITA
102112;RODONITA
102113;HAUSMANNITA
102117;SILICATOS DE MANGANÊS
102200;MINÉRIO DE MOLIBDÊNIO
102201;MOLIBDÊNIO
102202;MOLIBDENITA
102203;FERRIMOLIBDENITA
102205;WULFENITA
102206;CHILLAGITA
102207;POWELLITA
102300;MINÉRIO DE NIÓBIO
102301;NIÓBIO
102302;PIROCLORO
102303;COLUMBITA
102304;LOPARITA
102305;NIOBITA
102306;PEGMATITO
102307;TANTALITA-COLUMBITA
102400;MINÉRIO DE NÍQUEL
102401;NÍQUEL
102402;SULFETOS DE NÍQUEL
102403;SILICATOS DE NÍQUEL
102404;LATERITA NIQUELÍFERA
102407;DUNITO NIQUELÍFERO
102408;NICOLITA
102409;BRAVOÍTA
102410;MILLERITA
102411;GARNIERITA
102413;PENTLANDITA
102414;PIRROTITA
102424;VIOLARITA
102500;MINÉRIO DE RÁDIO
102501;RÁDIO
102600;MINÉRIO DE RÊNIO
102601;RÊNIO
102700;MINÉRIO DE RUBÍDIO
102701;RUBÍDIO
102800;MINÉRIO DE SELÊNIO
102801;SELÊNIO
102802;ONOFRITA
102900;MINÉRIO DE TÁLIO
102901;TÁLIO
102902;AVICENITA
102903;URBAÍTA
103100;MINÉRIO DE TÂNTALO
103101;TÂNTALO
103102;TANTALITA
103103;TANTALITA-COLUMBITA
103104;MICROLITA
103105;DJALMAÍTA
103106;MANGANOTANTALITA
103107;PEGMATITO
103108;TAPIOLITA
103200;MINÉRIO DE TUNGSTÊNIO
103201;TUNGSTÊNIO
103202;WOLFRÂMIO
103203;SCHEELITA
103204;WOLFRAMITA
103205;FERBERITA
103206;HEBNERITA
103207;MINÉRIO DE WOLFRÂMIO
103208;PEGMATITO
103300;MINÉRIO DE ZINCO
103301;ZINCO
103302;ÓXIDOS DE ZINCO
103303;SULFETOS DE ZINCO
103304;SILICATOS DE ZINCO
103305;BLENDA
103306;ESFALERITA
103307;CALAMINA
103308;HEMIMORFITA
103309;WILLEMITA
103310;SMITHSONITA
103312;ZINCITA
103313;FRANCKLINITA
103314;HIDROZINCITA
103315;CARBONATOS DE ZINCO
103400;MINÉRIO DE VANÁDIO
103401;VANÁDIO
103402;VANADINITA
103403;DECLOISITA
103404;ROSCOELITA
103405;SENGIERITA
103500;MINÉRIO DE TITÂNIO
103501;TITÂNIO
103502;ILMENITA
103503;RUTILO
103504;ANATÁSIO
103505;BROOKITA
103507;LEUCOXÊNIO
103508;ILMENO HEMATITA
103509;ILMENO MAGNETITA
103510;ILMENITA MAGNESIANA
103511;PEROVSKITA
103512;ESFENO
103513;TITANO MAGNETITA
103600;MINÉRIO DE ZIRCÔNIO
103601;ZIRCÔNIO
103602;ZIRCÃO
103603;ZIRCONITA
103604;BADDELEÍTA
103605;CALDASITO
103606;EUDIALITA
103700;MINÉRIO DE CROMO
103701;CROMO
103702;CROMITA
103703;CROMITA GRAU METALURG
103704;CROMITA METALURGIA
103705;DUNITO CROMÍFERO
103706;CROMITITO
103707;ESPINÉLIO CROMÍFERO
103708;CROMITA GRAU QUÍMICO
103800;MINÉRIO DE GÁLIO
103801;GÁLIO
103802;SOHNGEÍTA
103900;MINÉRIO DE MERCÚRIO
103901;MERCÚRIO
103902;CINÁBRIO
103903;MERCÚRIO NATIVO
103904;AMALGAM
104100;MINÉRIO DE COBALTO
104101;COBALTO
104102;ESMALTITA
104104;COBALTITA
104105;COBALTO PIRITA
104106;LINNEÍTA
104108;SAFLORITA
104109;GLAUCODOTO
104110;ERITRINA
104111;ASBOLANO
104112;ASBOLANO NIQUELÍFERO
104113;SIEGENITA
104200;MINÉRIO DE ESCÂNDIO
104201;ESCÂNDIO
104202;THORTVEÍTA
104300;MINÉRIO DE PLATINA
104301;PLATINA
104302;PLATINA NATIVA
104303;PLATINA ALUVIONAR
104304;SPERRYLITA
104305;COOPERITA
104306;PLATINIRÍDIO
104307;PLATINÓIDES
104308;POLIXÊNIO
104400;MINÉRIO DE PALÁDIO
104401;PALÁDIO
104402;PALÁDIO NATIVO
104500;MINÉRIO DE RÓDIO
104501;RÓDIO
104600;MINÉRIO DE ÓSMIO
104601;ÓSMIO
104602;NEWJANSKITA
104603;OSMIRÍDIO
104700;MINÉRIO DE IRÍDIO
104701;IRÍDIO
104702;OSMIRÍDIO
104800;MINÉRIO DE RUTÊNIO
104801;RUTÊNIO
104900;MINÉRIO DE OURO
104901;OURO
104902;ROCHA AURÍFERA
104903;CASCALHO AURÍFERO
104904;ALUVIÃO AURÍFERO
104906;SILVANITA
104907;CALAVERITA
104908;OURO NATIVO
105100;MINÉRIO DE PRATA
105101;PRATA
105102;ARGENTITA
105103;PRATA NATIVA
105104;CERARGIRITA
105105;STEPHANITA
105107;PIRARGIRITA
105108;PROUSTITA
105109;SILVANITA
105110;CARNOTITA
105300;MINÉRIO DE CÉRIO
105301;CÉRIO
105302;CERITA
105303;LOPARITA
105304;POLICRASITA
105305;MONAZITA
105306;ALLANITA
105307;DISPRÓSIO
105308;ÉRBIO
105309;EURÓPIO
105310;GADOLÍNIO
105311;HÓLMIO
105312;ITÉRBIO
105313;KNOPITA
105314;LANTÂNIO
105315;LUTÉCIO
105316;NEODÍMIO
105317;PARISITA
105318;PRASEODÍMIO
105319;PROMÉCIO
105320;RABDOFANITA
105321;RINKOLITA
105322;SAMÁRIO
105323;TÉRBIO
105324;TERRAS RARAS
105325;TÚLIO
105327;AREIA MONAZÍTICA
105328;BASTNAESITA
105500;MINÉRIO DE TELÚRIO
105501;TELÚRIO
106000;MINÉRIO DE TÓRIO
106001;TORIANITA
106002;TÓRIO
106003;TORITA
107000;MINÉRIO DE URÂNIO
107001;AUTUNITA
107002;CARNOTITA
107003;EUXENITA
107004;PECHBLENDA
107005;URANINITA
107006;URÂNIO
107007;URANOFANO
107008;URANOTALITA
108000;MINÉRIO DE SILÍCIO
200100;ARDÓSIA
200101;PEDRA SÃO TOMÉ
200200;AREIA
200201;AREIA ALUVIONAR
200202;AREIA COMUM
200203;AREIA DE BARRANCO
200204;AREIA FINA
200205;AREIA FLUVIAL
200206;AREIA IN NATURA
200207;AREIA LAVADA
200208;ARENITO
200300;ARGILA
200301;ARGILA COMUM
200302;ARGILA P/CER. VERMELH
200303;ARGILA VERMELHA
200304;FOLHELHO
200305;FOLHELHO ARGILOSO
200306;TAGUÁ
200400;BASALTO
200401;BASALTO P/ REVESTIMENTO
200402;DIABÁSIO
200403;DIABÁSIO P/ REVESTIMENTO
200500;PEGMATITO
200600;CASCALHO
200601;PEDREGULHO
200602;SEIXOS
200603;SEIXOS ROLADOS
200700;DOLOMITO
200701;CALCÁRIO DOLOMÍTICO
200800;QUARTZITO
200801;PEDRA QUARTZITO
200900;SAIBRO
200901;SAIBREIRA
201200;CONGLOMERADO
300101;FOSFATO
300102;APATITA
300103;FOSFORITA (O)
300104;BAUXITA FOSFOROSA
300105;CALCÁRIO FOSFOROSO
300107;COLOFANO
300108;COLOFANITA
300109;FERTILIZANTE FOSFATADO
300110;CARBONATITO
300111;FLÚOR-APATITA
300112;ROCHA FOSFÁTICA
300113;SENEGALITA
300201;ADUBOS ORGÂNICOS
300206;GUANO
300313;SAIS DE POTÁSSIO
300314;EVAPORITO
300315;SILVITA
300317;SILVINITA
300318;CARNALITA
300319;KAINITA
300320;POLIALITA
300400;SALITRE
300401;CALICHE
300402;NITRATO DE POTÁSSIO
300403;NITRATO DE SÓDIO
300404;NITRATOS
300405;NITRO
300500;ROCHA POTÁSSICA
400101;ANTRACITO
400102;CARVÃO BETUMINOSO
400103;CARVÃO
400104;CARVÃO SUB-BETUMINOSO
400108;CARVÃO ANTRACITOSO
400109;CARVÃO MINERAL
400200;LINHITO
400201;LINHITO CARBONOSO
400300;SAPROPEL
400301;SAPROPELITO
400400;TURFA
400401;TURFEIRA
400402;MARAUÍTO
500101;ASFALTITO
500102;ROCHA BETUMINOSA
500103;FOLHELHO BETUMINOSO
500105;ARENITO BETUMINOSO
500106;CALCÁRIO BETUMINOSO
500110;BETUME
500111;FOLHELHO OLEÍGENO
500112;XISTO BETUMINOSO
500113;XISTO OLEÍGENO
500200;ROCHA PIROBETUMINOSA
500201;FOLHELHO PIROBETUMINO
500202;XISTO PIROBETUMINOSO
500203;ARENITO PIROBETUMINOS
500204;CALCÁRIO PIROBETUMINOSO
601000;GEMA
601001;BERILO VERDE
601002;PEDRA CORADA
601003;PEDRA PRECIOSA
601004;PEGMATITO
601005;ÁGUA MARINHA
601006;ALEXANDRITA
601007;ALMANDINA
601008;GRANADA
601009;AMAZONITA
601010;AMETISTA
601011;ANDRADITA
601012;BERILO
601013;BERILO VERMELHO
601014;BRASILIANITA
601015;CITRINO
601016;CITRINO RIO GRANDE
601017;CRISOBERILO
601018;CRISOPRÁSIO
601019;DIAMANTE
601020;CONGLOMERADO DIAMANTÍFERO
601021;ROCHA DIAMANTÍFERA
601022;DJALMAÍTA
601023;ESFENO
601024;TITANITA
601025;ESMERALDA
601026;ESPODUMÊNIO
601027;ESTAUROLITA
601028;HELIODORO
601029;JADEÍTA
601030;JASPE
601031;KUNZITA
601032;LÁPIS LAZÚLI
601033;LAZURITA
601034;OBSIDIANA
601035;OLHO DE GATO
601036;OLIVINA
601037;PERÍDOTO
601038;ÔNIX
601039;PERISTERITA
601040;CRISTAL DE ROCHA
601041;OPALA
601042;MORION
601043;QUARTZO MORION
601044;QUARTZO BICOLOR
601045;QUARTZO
601046;QUARTZO HIALINO
601047;QUARTZO COM INCLUSÕES
601048;QUARTZO FUME
601049;QUARTZO RÓSEO
601050;QUARTZO VERDE
601051;RUBI
601052;SAFIRA
601053;SÁRDIO
601054;SIBERITA
601055;SILLIMANITA
601056;TOPÁZIO
601057;TOPÁZIO IMPERIAL
601058;TURMALINA
601059;AFRISITA
601060;RUBELITA
601061;TURMALINA BICOLOR
601062;TURMALINA VERDE
601063;TURMALINA ROSA
601064;TURMALINA AZUL
601065;TURQUESA
601066;UVAROVITA
601067;VARISCITA
601068;ZIRCÃO
601069;ZIRCONITA
601070;RUBI ESPINÉLIO
601071;MORGANITA
601072;CRISOLITA
601073;DIOPSÍDIO
601074;CORDIERITA
602000;PEDRA ORNAMENTAL
602001;ÁGATA
602002;ÂMBAR
602003;CALCEDÔNIA
602004;ESTEATITO
602005;PEDRA SABÃO
602006;MALAQUITA
602007;SEPIOLITA
602008;SODALITA
602009;HIDDENITA
602010;CORAL
602011;JADE
700101;AMIANTO
700102;ASBESTOS
700200;AGALMATOLITO
700201;LARDITO
700202;PAGODITO
700228;TERRA DE SIENA
700229;PERLITA
700300;ANDALUZITA
700301;ANDALUZITA INDUSTRIAL
700400;ANDESITO
700500;ANFIBÓLIO
700501;ACTINOLITA
700502;ANFIBOLITO
700503;GLAUCOFÂNIO
700600;ANIDRITA
700700;ANORTOSITO
700800;ANTOFILITA
700900;ARDÓSIA
700901;FOLHELHO ARDOSIANO
701100;AREIA DE FUNDIÇÃO
701201;AREIA P/ VIDRO
701202;AREIA QUARTZOSA
701203;AREIA SILICOSA
701204;ARENITO
701205;AREIA INDUSTRIAL
701206;AREIA P/ FILTROS
701207;AREIA P/ JATEAMENTO
701208;AREIA P/ PERFURAÇÃO
701209;ARENITO INDUSTRIAL
701300;ARENITO
701400;ARGILA
701401;ARGILA BRANCA
701402;ARGILA FERRUGINOSA
701403;ATAPULGITA
701404;TAUÁ
701500;FOLHELHO
701501;FOLHELHO ARGILOSO
701502;TABATINGA
701503;TAGUÁ
701504;VARVITO
701505;BARITA
701600;SILTITO
701700;ARGILA REFRATÁRIA
701701;ARGILA ALUMINOSA
701702;ARGILA BAUXÍTICA
701703;ARGILA CAULÍNICA
701704;ARGILA LEUCÍTICA
701705;HALLOYSITA
701800;ARGILITO
701801;BÁRIO
701802;BARITINA
701803;WITHERITA
701900;BASALTO P/ BRITA
701901;DIABÁSIO P/ BRITA
701902;BASALTO
702100;BAUXITA
702101;ALUNITA
702102;HALOTRIQUITA
702200;BENTONITA
702201;ARGILA BENTONÍTICA
702202;ESMECTITA
702203;MONTMORILONITA
702204;TERRA FULLER
702300;BORATOS
702301;BÓRAX (TINCAL)
702302;COLEMANITA
702303;SZAIBELLYITA
702304;TINCAL
702305;ULEXITA
702400;CALCÁRIO
702401;CALCÁRIO CALCÍTICO
702402;CALCÁRIO INDUSTRIAL
702403;CALCÁRIO MAGNESIANO
702404;CALCÁRIO P/ BRITA
702405;CALCÁRIO SEDIMENTAR
702406;CALCÁRIO SILICOSO
702407;PEDRA CALCÁRIA
702408;ROCHA CALCÁRIA
702409;ROCHA CARBONÁTICA
702410;MARGA
702500;CALCÁRIO CORALÍNEO
702501;ALGAS CALCÁREAS
702600;CALCÁRIO DOLOMÍTICO
702700;CALCITA
702701;BRECHA
702702;CALCITA ÓTICA
702800;CATACLASITO
702900;CAULIM
702901;CAULIM ARGILOSO
702902;CAULINITA
703001;TUFO VULCÂNICO
703100;CELESTITA
703200;CHARNOQUITO
703201;GRANITO VERDE UBATUBA
703202;ENDERBITO
703300;CIANITA
703301;DISTÊNIO
703400;CONCHAS CALCÁRIAS
703401;CONCHAS CALCÍTICAS
703402;CALCÁRIO CONCHÍFERO
703403;COQUINA
703404;CONCHEIRO NATURAL
703600;CORÍNDON
703700;CRISOTILA
703800;CROMITA
703801;CROMITA REFRATÁRIA
703900;DACITO
704100;DIAMANTE INDUSTRIAL
704101;ALUVIÃO DIAMANTÍFERO
704102;CARBONADO
704103;CARBONATO
704104;CASCALHO DIAMANTÍFERO
704105;DIAMANTE
704106;LAVRITA
704107;CONGLOMERADO DIAMANTÍ
704200;DIATOMITO
704201;DIATOMITA
704300;DIORITO
704301;DIORITO INDUSTRIAL
704302;DIORITO ORNAMENTAL
704303;DIORITO P/ BRITA
704304;DIORITO P/ REVESTIMEN
704305;HORNBLENDA DIORITO
704400;DOLOMITO
704500;DUMORTIERITA
704600;DUNITO
704700;ENXOFRE
704701;ENXOFRE NATIVO
704800;ESTEATITO
704801;PEDRA SABÃO
704900;ESTRONCIANITA
704901;ESTRÔNCIO
704902;GOYAZITA
705100;FELDSPATO
705101;ORTOCLÁSIO
705102;PEGMATITO
705200;FILITO
705300;FLUORITA
705301;FLÚOR
705302;FLUORITA GRAU ÁCIDO
705303;FLUORITA GRAU CERÂMICO
705304;FLUORITA GRAU METALÚR
705305;FLUORITA GRAU QUÍMICO
705400;FONÓLITO
705401;FOIAÍTO
705402;NEFELINA FONÓLITO
705403;TINGUAÍTO
705500;GABRO
705501;NORITO
705600;GIPSO
705601;GIPSITA
705602;GESSO
705700;GNAISSE
705701;AUGEN GNAISSE
705702;GNAISSE FACOIDAL
705703;GNAISSE GRANÍTICO
705704;GNAISSE INDUSTRIAL
705705;GNAISSE ORNAMENTAL
705706;GNAISSE P/ REVESTIMENTO
705707;GNAISSE P/ BRITA
705708;GNAISSE SIENÍTICO
705709;KINZIGITO
705800;GRAFITA
705900;GRANADA
705901;ALMANDINA
705902;ANDRADITA
705903;ESPESSARTITA
705904;GRANADA ALUVIONAR
705905;GRANADA INDUSTRIAL
705906;GROSSULÁRIA
705907;PIROPO
706100;GRANITO
706101;ALASKITO
706102;APLITO
706103;BIOTITA GRANITO
706104;BRITA DE GRANITO
706105;GRANITO AMARELO
706106;GRANITO GNÁISSICO
706107;GRANITO ORNAMENTAL
706108;GRANITO P/ REVESTIMENTO
706109;GRANITO P/ BRITA
706110;HORNBLENDA GRANITO
706111;MONZOGRANITO
706112;SIENO GRANITO
707100;GRANODIORITO
707102;GRANODIORITO INDUSTRIAL
707103;GRANODIORITO P/ BRITA
707104;GRANODIORITO P/ REVESTIMENTO
707701;BIOTITA GRANODIORITO
708100;GRANULITO
708101;EPIBOLITO
709100;HIDRARGILITA
709101;GIBBSITA
710100;LATERITA
710200;LEUCITA
710300;LEUCOFILITO
710400;MAGNESITA
710500;MÁRMORE
710501;MÁRMORE DOLOMÍTICO
710502;MÁRMORE INDUSTRIAL
710503;MÁRMORE P/ REVESTIMENTO
710600;MICA
710601;FLOGOPITA
710602;FUCHSITA
710603;MALACACHETA
710604;MOSCOVITA
710605;MUSCOVITA
710606;PEGMATITO
710607;BIOTITA
710608;SERICITA
710700;MIGMATITO
710701;DIATEXITO
710702;EMBRECHITO
710703;DIADISITO
710704;MIGMATITO ORNAMENTAL
710705;MIGMATITO P/ BRITA
710706;MIGMATITO P/ REVESTIMENTO
710707;MIGMATITO INDUSTRIAL
710800;MONZONITO
710801;ADAMELITO
710802;ALCALI MONZONITO
710803;MONZONITO INDUSTRIAL
710804;MONZONITO ORNAMENTAL
710805;MONZONITO P/ BRITA
710806;MONZONITO P/ REVESTIM
710807;QUARTZO MONZONITO
710900;OCRE
710901;OCRE DE FERRO
711100;PERIDOTITO
711200;PERLITO
711300;PINGUITA
711301;NONTRONITA
711400;PIRITA
711500;PIROFILITA
711600;PIROXENITO
711700;QUARTZITO
711701;QUARTZITO DUMORTIERITO
711702;QUARTZITO FRIÁVEL
711703;QUARTZITO INDUSTRIAL
711704;QUARTZITO MICÁCEO
711705;QUARTZITO P/ REVESTIMENTO
711706;QUARTZITO ROSA
711707;QUARTZITO SERICITICO
711708;QUARTZITO VERDE
711800;QUARTZO
711801;CASCALHO SILICOSO
711802;CRISTAL DE ROCHA
711803;PEGMATITO
711804;QUARTZO FUNDENTE
711805;QUARTZO INDUSTRIAL
711806;QUARTZO LEITOSO
711807;SÍLICA
711808;SILÍCIO
711900;RIÓLITO
712100;SAIS DE BROMO
712101;BROMO
712200;SAIS DE IODO
712201;IODO
712300;SALGEMA
712301;HALITA
712302;SAIS DE SÓDIO
712400;SAPONITO
712401;SAPONITA
712500;SERPENTINITO
712600;SIENITO
712601;NEFELINA SIENITO
712602;SIENITO INDUSTRIAL
712603;SIENITO ORNAMENTAL
712604;SIENITO P/ BRITA
712605;SIENITO P/ REVESTIMENTO
712606;SODALITA SIENITO
712607;NEFELINA
712700;SÍLEX
712701;CHERT
712702;SILEXITO
712800;SILLIMANITA
713100;TALCO
713101;TALCO XISTO
713102;XISTO TALCÍFERO
713200;TONALITO
713201;PIROXÊNIO TONALITO
713202;TRONDJEMITO
713300;TRAQUITO
713301;TRAQUITO ALCALINO
713302;TRAQUITO INDUSTRIAL
713303;TRAQUITO ORNAMENTAL
713400;TREMOLITA
713401;TREMOLITITO
713500;TRIPOLITO
713501;TRIPOLI
713600;TRONA
713700;VERMICULITA
713800;WOLLASTONITA
713900;ARCÓSIO
714100;XISTO
714101;MICAXISTO
714102;XISTO ARGILOSO
715100;TUFO
716200;METACONGLOMERADO
800101;ÁGUA MINERAL
800102;ÁGUA MINERAL ALC. BIC
800103;ÁGUA MINERAL ALC. TER. CALCI. 
800104;ÁGUA MINERAL ALC. TER. MAGNE
800105;ÁGUA MINERAL SULFATAD
800106;ÁGUA MINERAL SULFUROS
800107;ÁGUA MINERAL NITRATAD
800108;ÁGUA MINERAL CLORETAD
800109;ÁGUA MINERAL FERRUGIN
800110;ÁGUA MINERAL CARBOGAS
800111;ÁGUA MINERAL RADIFERA
800112;ÁGUA MINERAL TORIO-AT
800113;ÁGUA MINERAL RAD. FON
800114;ÁGUA MINERAL LITINADA
800116;ÁGUA MINERAL ALC. TER
800118;ÁGUA TERMO MINERAL
800200;ÁGUAS OLIGOMINERAIS
800300;ÁGUA POTÁVEL DE MESA
800400;ÁGUAS TERMAIS
800500;ÁGUA GASOSA
