ano,cenario_preco,cenario_demanda,demanda_mwh,preco_brl_mwh,custo_brl,data_nature,source_id
2031,referencia,conservador,3342904.582,368.94,1233331216.48,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,referencia,conservador,3359619.104,370.47,1244638089.46,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,referencia,conservador,3376417.2,371.94,1255824613.37,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,referencia,conservador,3393299.286,373.35,1266888288.43,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,referencia,conservador,3410265.782,374.72,1277894793.83,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,referencia,conservador,3427317.111,376.06,1288876872.76,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,referencia,conservador,3444453.697,377.34,1299730158.03,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,referencia,conservador,3461675.965,378.6,1310590520.35,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,referencia,conservador,3478984.345,379.83,1321422623.76,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,referencia,conservador,3496379.267,381.04,1332260355.9,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,referencia,referencia,3309479.642,361.99,1197998535.61,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,referencia,referencia,3359121.837,363.86,1222250071.61,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,referencia,referencia,3409508.664,365.64,1246652747.9,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,referencia,referencia,3460651.294,367.33,1271201039.83,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,referencia,referencia,3512561.064,368.94,1295924278.95,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,referencia,referencia,3565249.48,370.47,1320817974.86,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,referencia,referencia,3618728.222,371.94,1345949774.89,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,referencia,referencia,3673009.145,373.35,1371317964.29,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,referencia,referencia,3728104.282,374.72,1396995236.55,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,referencia,referencia,3784025.847,376.06,1423020760.02,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,referencia,referencia,3840786.234,377.34,1449282277.54,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,referencia,referencia,3898398.028,378.6,1475933493.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,referencia,referencia,3956873.998,379.83,1502939450.66,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,referencia,referencia,4016227.108,381.04,1530343177.23,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,referencia,expansao,3358388.208,361.99,1215702947.41,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,referencia,expansao,3459139.855,363.86,1258642627.64,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,referencia,expansao,3562914.05,365.64,1302743893.24,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,referencia,expansao,3669801.472,367.33,1348028174.71,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,referencia,expansao,3779895.516,368.94,1394554651.67,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,referencia,expansao,3893292.381,370.47,1442348028.39,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,referencia,expansao,4010091.153,371.94,1491513303.45,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,referencia,expansao,4130393.887,373.35,1542082557.71,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,referencia,expansao,4254305.704,374.72,1594173433.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,referencia,expansao,4381934.875,376.06,1647870429.09,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,referencia,expansao,4513392.921,377.34,1703083684.81,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,referencia,expansao,4648794.709,378.6,1760033676.83,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,referencia,expansao,4788258.55,379.83,1818724245.05,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,referencia,expansao,4931906.307,381.04,1879253579.22,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,expansao,conservador,3276873.931,355.68,1165518519.78,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,expansao,conservador,3293258.301,351.71,1158271877.04,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,expansao,conservador,3309724.593,348.07,1152015839.09,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,expansao,conservador,3326273.216,344.73,1146666165.75,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,expansao,conservador,3342904.582,341.63,1142036492.35,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,expansao,conservador,3359619.104,338.78,1138171760.05,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,expansao,conservador,3376417.2,336.12,1134881349.26,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,expansao,conservador,3393299.286,333.65,1132174306.77,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,expansao,conservador,3410265.782,331.34,1129957464.21,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,expansao,conservador,3427317.111,329.19,1128238519.77,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,expansao,conservador,3444453.697,327.15,1126853026.97,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,expansao,conservador,3461675.965,325.24,1125875490.86,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,expansao,conservador,3478984.345,323.43,1125207906.7,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,expansao,conservador,3496379.267,321.72,1124855137.78,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,expansao,referencia,3309479.642,355.68,1177115719.07,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,expansao,referencia,3359121.837,351.71,1181436741.29,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,expansao,referencia,3409508.664,348.07,1186747680.68,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,expansao,referencia,3460651.294,344.73,1192990320.58,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,expansao,referencia,3512561.064,341.63,1199996236.29,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,expansao,referencia,3565249.48,338.78,1207835218.83,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,expansao,referencia,3618728.222,336.12,1216326929.98,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,expansao,referencia,3673009.145,333.65,1225499501.23,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,expansao,referencia,3728104.282,331.34,1235270072.8,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,expansao,referencia,3784025.847,329.19,1245663468.57,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,expansao,referencia,3840786.234,327.15,1256513216.45,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,expansao,referencia,3898398.028,325.24,1267914974.63,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,expansao,referencia,3956873.998,323.43,1279771757.17,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,expansao,referencia,4016227.108,321.72,1292100585.19,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,expansao,expansao,3358388.208,355.68,1194511517.82,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,expansao,expansao,3459139.855,351.71,1216614078.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,expansao,expansao,3562914.05,348.07,1240143493.38,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,expansao,expansao,3669801.472,344.73,1265090661.44,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,expansao,expansao,3779895.516,341.63,1291325705.13,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,expansao,expansao,3893292.381,338.78,1318969592.84,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,expansao,expansao,4010091.153,336.12,1347871838.35,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,expansao,expansao,4130393.887,333.65,1378105920.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,expansao,expansao,4254305.704,331.34,1409621651.96,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,expansao,expansao,4381934.875,329.19,1442489141.5,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,expansao,expansao,4513392.921,327.15,1476556494.11,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,expansao,expansao,4648794.709,325.24,1511973991.16,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,expansao,expansao,4788258.55,323.43,1548666462.83,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,expansao,expansao,4931906.307,321.72,1586692897.09,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
