mineral_id,company_id,operation_id,year,production_t,production_basis,data_nature,source_id
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2019,53069.015,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2020,53975.01,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2021,53596.328,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2022,54514.813,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2023,55445.49,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2024,55056.492,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,COM_DEMO_005,OP_DEMO_NB_001,2025,56000,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2018,1501094.142,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2019,1525305.338,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2020,1549807.842,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2021,1537409.38,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2022,1562206.305,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2023,1587301.587,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2024,1574603.175,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,COM_DEMO_006,OP_DEMO_FOS_001,2025,1600000,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2018,845359.447,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2019,861550.807,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2020,877996.089,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2021,873564.299,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2022,890295.874,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2023,907289.841,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2024,902710.188,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,COM_DEMO_007,OP_DEMO_AL_001,2025,920000,beneficiada,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2018,4.815,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2019,4.942,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2020,5.071,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2021,5.08,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2022,5.213,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2023,5.35,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2024,5.36,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,COM_DEMO_008,OP_DEMO_AU_001,2025,5.5,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2018,171237.277,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2019,173653.932,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2020,176093.422,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2021,174338.078,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2022,176798.495,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2023,179282.16,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2024,177495.03,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,COM_DEMO_009,OP_DEMO_AMI_001,2025,180000,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2018,832730.679,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2019,847840.712,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2020,863169.672,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2021,857963.252,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2022,873531.133,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2023,889324.576,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2024,883960.396,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,COM_DEMO_010,OP_DEMO_APA_001,2025,900000,beneficiada,estimated_demo,SRC_DEMO_001
